+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |NOT_ASSIGNED |       NEW |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |NOT_ASSIGNED |       NEW |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |NOT_ASSIGNED |       NEW |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |NOT_ASSIGNED |       NEW |
|                 0 |  4 |       NEW |     READY |
|                 0 |  5 |NOT_ASSIGNED |       NEW |
|                 0 |  5 |       NEW |     READY |
|                 0 |  6 |NOT_ASSIGNED |       NEW |
|                 0 |  6 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                99 |  1 |   RUNNING |     READY |
|               100 |  2 |     READY |   RUNNING |
|               199 |  2 |   RUNNING |     READY |
|               200 |  3 |     READY |   RUNNING |
|               299 |  3 |   RUNNING |     READY |
|               300 |  4 |     READY |   RUNNING |
|               399 |  4 |   RUNNING |     READY |
|               400 |  5 |     READY |   RUNNING |
|               499 |  5 |   RUNNING |     READY |
|               500 |  6 |     READY |   RUNNING |
|               599 |  6 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               699 |  1 |   RUNNING |TERMINATED |
|               700 |  2 |     READY |   RUNNING |
|               799 |  2 |   RUNNING |TERMINATED |
|               800 |  3 |     READY |   RUNNING |
|               899 |  3 |   RUNNING |TERMINATED |
|               900 |  4 |     READY |   RUNNING |
|               999 |  4 |   RUNNING |TERMINATED |
|              1000 |  5 |     READY |   RUNNING |
|              1099 |  5 |   RUNNING |TERMINATED |
|              1100 |  6 |     READY |   RUNNING |
|              1199 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
