+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |NOT_ASSIGNED |       NEW |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |NOT_ASSIGNED |       NEW |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |NOT_ASSIGNED |       NEW |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |NOT_ASSIGNED |       NEW |
|                 0 |  4 |       NEW |     READY |
|                 0 |  5 |NOT_ASSIGNED |       NEW |
|                 0 |  5 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 9 |  1 |   RUNNING |   WAITING |
|                10 |  2 |     READY |   RUNNING |
|                14 |  1 |   WAITING |     READY |
|                19 |  2 |   RUNNING |   WAITING |
|                20 |  3 |     READY |   RUNNING |
|                24 |  2 |   WAITING |     READY |
|                29 |  3 |   RUNNING |   WAITING |
|                30 |  4 |     READY |   RUNNING |
|                34 |  3 |   WAITING |     READY |
|                39 |  4 |   RUNNING |   WAITING |
|                40 |  5 |     READY |   RUNNING |
|                44 |  4 |   WAITING |     READY |
|                49 |  5 |   RUNNING |   WAITING |
|                50 |  1 |     READY |   RUNNING |
|                54 |  5 |   WAITING |     READY |
|                59 |  1 |   RUNNING |   WAITING |
|                60 |  2 |     READY |   RUNNING |
|                64 |  1 |   WAITING |     READY |
|                69 |  2 |   RUNNING |   WAITING |
|                70 |  3 |     READY |   RUNNING |
|                74 |  2 |   WAITING |     READY |
|                79 |  3 |   RUNNING |   WAITING |
|                80 |  4 |     READY |   RUNNING |
|                84 |  3 |   WAITING |     READY |
|                89 |  4 |   RUNNING |   WAITING |
|                90 |  5 |     READY |   RUNNING |
|                94 |  4 |   WAITING |     READY |
|                99 |  5 |   RUNNING |   WAITING |
|               100 |  1 |     READY |   RUNNING |
|               104 |  5 |   WAITING |     READY |
|               109 |  1 |   RUNNING |   WAITING |
|               110 |  2 |     READY |   RUNNING |
|               114 |  1 |   WAITING |     READY |
|               119 |  2 |   RUNNING |   WAITING |
|               120 |  3 |     READY |   RUNNING |
|               124 |  2 |   WAITING |     READY |
|               129 |  3 |   RUNNING |   WAITING |
|               130 |  4 |     READY |   RUNNING |
|               134 |  3 |   WAITING |     READY |
|               139 |  4 |   RUNNING |   WAITING |
|               140 |  5 |     READY |   RUNNING |
|               144 |  4 |   WAITING |     READY |
|               149 |  5 |   RUNNING |   WAITING |
|               150 |  1 |     READY |   RUNNING |
|               154 |  5 |   WAITING |     READY |
|               159 |  1 |   RUNNING |   WAITING |
|               160 |  2 |     READY |   RUNNING |
|               164 |  1 |   WAITING |     READY |
|               169 |  2 |   RUNNING |   WAITING |
|               170 |  3 |     READY |   RUNNING |
|               174 |  2 |   WAITING |     READY |
|               179 |  3 |   RUNNING |   WAITING |
|               180 |  4 |     READY |   RUNNING |
|               184 |  3 |   WAITING |     READY |
|               189 |  4 |   RUNNING |   WAITING |
|               190 |  5 |     READY |   RUNNING |
|               194 |  4 |   WAITING |     READY |
|               199 |  5 |   RUNNING |   WAITING |
|               200 |  1 |     READY |   RUNNING |
|               204 |  5 |   WAITING |     READY |
|               209 |  1 |   RUNNING |   WAITING |
|               210 |  2 |     READY |   RUNNING |
|               214 |  1 |   WAITING |     READY |
|               219 |  2 |   RUNNING |   WAITING |
|               220 |  3 |     READY |   RUNNING |
|               224 |  2 |   WAITING |     READY |
|               229 |  3 |   RUNNING |   WAITING |
|               230 |  4 |     READY |   RUNNING |
|               234 |  3 |   WAITING |     READY |
|               239 |  4 |   RUNNING |   WAITING |
|               240 |  5 |     READY |   RUNNING |
|               244 |  4 |   WAITING |     READY |
|               249 |  5 |   RUNNING |   WAITING |
|               250 |  1 |     READY |   RUNNING |
|               254 |  5 |   WAITING |     READY |
|               259 |  1 |   RUNNING |   WAITING |
|               260 |  2 |     READY |   RUNNING |
|               264 |  1 |   WAITING |     READY |
|               269 |  2 |   RUNNING |   WAITING |
|               270 |  3 |     READY |   RUNNING |
|               274 |  2 |   WAITING |     READY |
|               279 |  3 |   RUNNING |   WAITING |
|               280 |  4 |     READY |   RUNNING |
|               284 |  3 |   WAITING |     READY |
|               289 |  4 |   RUNNING |   WAITING |
|               290 |  5 |     READY |   RUNNING |
|               294 |  4 |   WAITING |     READY |
|               299 |  5 |   RUNNING |   WAITING |
|               300 |  1 |     READY |   RUNNING |
|               304 |  5 |   WAITING |     READY |
|               309 |  1 |   RUNNING |   WAITING |
|               310 |  2 |     READY |   RUNNING |
|               314 |  1 |   WAITING |     READY |
|               319 |  2 |   RUNNING |   WAITING |
|               320 |  3 |     READY |   RUNNING |
|               324 |  2 |   WAITING |     READY |
|               329 |  3 |   RUNNING |   WAITING |
|               330 |  4 |     READY |   RUNNING |
|               334 |  3 |   WAITING |     READY |
|               339 |  4 |   RUNNING |   WAITING |
|               340 |  5 |     READY |   RUNNING |
|               344 |  4 |   WAITING |     READY |
|               349 |  5 |   RUNNING |   WAITING |
|               350 |  1 |     READY |   RUNNING |
|               354 |  5 |   WAITING |     READY |
|               359 |  1 |   RUNNING |   WAITING |
|               360 |  2 |     READY |   RUNNING |
|               364 |  1 |   WAITING |     READY |
|               369 |  2 |   RUNNING |   WAITING |
|               370 |  3 |     READY |   RUNNING |
|               374 |  2 |   WAITING |     READY |
|               379 |  3 |   RUNNING |   WAITING |
|               380 |  4 |     READY |   RUNNING |
|               384 |  3 |   WAITING |     READY |
|               389 |  4 |   RUNNING |   WAITING |
|               390 |  5 |     READY |   RUNNING |
|               394 |  4 |   WAITING |     READY |
|               399 |  5 |   RUNNING |   WAITING |
|               400 |  1 |     READY |   RUNNING |
|               404 |  5 |   WAITING |     READY |
|               409 |  1 |   RUNNING |   WAITING |
|               410 |  2 |     READY |   RUNNING |
|               414 |  1 |   WAITING |     READY |
|               419 |  2 |   RUNNING |   WAITING |
|               420 |  3 |     READY |   RUNNING |
|               424 |  2 |   WAITING |     READY |
|               429 |  3 |   RUNNING |   WAITING |
|               430 |  4 |     READY |   RUNNING |
|               434 |  3 |   WAITING |     READY |
|               439 |  4 |   RUNNING |   WAITING |
|               440 |  5 |     READY |   RUNNING |
|               444 |  4 |   WAITING |     READY |
|               449 |  5 |   RUNNING |   WAITING |
|               450 |  1 |     READY |   RUNNING |
|               454 |  5 |   WAITING |     READY |
|               459 |  1 |   RUNNING |TERMINATED |
|               460 |  2 |     READY |   RUNNING |
|               469 |  2 |   RUNNING |TERMINATED |
|               470 |  3 |     READY |   RUNNING |
|               479 |  3 |   RUNNING |TERMINATED |
|               480 |  4 |     READY |   RUNNING |
|               489 |  4 |   RUNNING |TERMINATED |
|               490 |  5 |     READY |   RUNNING |
|               499 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
